Timestamp,RTU_1 OccManCmd
18-Feb-19 06:01:22 pm,Unocc
18-Feb-19 06:57:51 pm,Occ
18-Feb-19 07:28:18 pm,Unocc
18-Feb-19 08:26:36 pm,Occ
18-Feb-19 08:56:42 pm,Unocc
18-Feb-19 09:26:11 pm,Occ
18-Feb-19 09:55:57 pm,Unocc
19-Feb-19 06:00:05 am,Occ
19-Feb-19 06:01:24 pm,Unocc
19-Feb-19 06:32:43 pm,Occ
19-Feb-19 07:03:43 pm,Unocc
19-Feb-19 09:37:15 pm,Occ
19-Feb-19 10:07:35 pm,Unocc
20-Feb-19 06:00:09 am,Occ
20-Feb-19 06:01:30 pm,Unocc
20-Feb-19 09:56:51 pm,Occ
20-Feb-19 10:27:36 pm,Unocc
21-Feb-19 06:00:10 am,Occ
21-Feb-19 06:00:47 pm,Unocc
21-Feb-19 09:38:37 pm,Occ
21-Feb-19 10:09:19 pm,Unocc
22-Feb-19 06:00:10 am,Occ
22-Feb-19 06:01:00 pm,Unocc
24-Feb-19 07:42:13 pm,Occ
24-Feb-19 08:12:11 pm,Unocc
25-Feb-19 05:46:06 am,Occ
25-Feb-19 06:10:20 pm,Unocc
25-Feb-19 10:08:38 pm,Occ
25-Feb-19 10:39:36 pm,Unocc
26-Feb-19 06:00:09 am,Occ
26-Feb-19 06:01:06 pm,Unocc
26-Feb-19 09:33:36 pm,Occ
26-Feb-19 10:04:04 pm,Unocc
27-Feb-19 06:00:04 am,Occ
27-Feb-19 06:00:54 pm,Unocc
27-Feb-19 06:13:28 pm,Occ
27-Feb-19 06:44:25 pm,Unocc
27-Feb-19 09:56:19 pm,Occ
27-Feb-19 10:27:04 pm,Unocc
28-Feb-19 06:00:12 am,Occ
28-Feb-19 06:00:52 pm,Unocc
01-Mar-19 06:00:14 am,Occ
01-Mar-19 06:00:56 pm,Unocc
02-Mar-19 05:47:14 pm,Unocc
02-Mar-19 09:45:41 pm,Occ
02-Mar-19 10:16:04 pm,Unocc
04-Mar-19 06:00:12 am,Occ
04-Mar-19 05:52:39 pm,Occ
04-Mar-19 05:53:03 pm,Unocc
04-Mar-19 05:53:47 pm,Occ
04-Mar-19 06:01:00 pm,Unocc
04-Mar-19 08:27:15 pm,Occ
04-Mar-19 08:57:55 pm,Unocc
05-Mar-19 06:00:14 am,Occ
05-Mar-19 06:01:19 pm,Unocc
05-Mar-19 08:23:51 pm,Occ
05-Mar-19 08:53:58 pm,Unocc
06-Mar-19 06:00:10 am,Occ
06-Mar-19 06:01:21 pm,Unocc
06-Mar-19 10:14:46 pm,Occ
06-Mar-19 10:45:40 pm,Unocc
07-Mar-19 06:00:18 am,Occ
07-Mar-19 06:00:51 pm,Unocc
07-Mar-19 08:26:46 pm,Occ
07-Mar-19 08:57:20 pm,Unocc
08-Mar-19 06:00:15 am,Occ
08-Mar-19 06:01:37 pm,Unocc
08-Mar-19 10:54:06 pm,Occ
08-Mar-19 11:24:14 pm,Unocc
09-Mar-19 03:12:44 pm,Occ
09-Mar-19 03:43:39 pm,Unocc
11-Mar-19 06:00:13 am,Occ
11-Mar-19 06:01:01 pm,Unocc
11-Mar-19 10:03:23 pm,Occ
11-Mar-19 10:41:21 pm,Unocc
12-Mar-19 06:00:07 am,Occ
12-Mar-19 06:23:05 pm,Unocc
12-Mar-19 09:15:09 pm,Occ
12-Mar-19 09:45:18 pm,Unocc
13-Mar-19 06:00:39 am,Occ
13-Mar-19 05:54:33 pm,Occ
13-Mar-19 05:54:57 pm,Unocc
13-Mar-19 05:55:23 pm,Occ
13-Mar-19 06:01:24 pm,Unocc
13-Mar-19 09:57:45 pm,Occ
13-Mar-19 10:27:43 pm,Unocc
14-Mar-19 06:00:04 am,Occ
14-Mar-19 06:01:29 pm,Unocc
14-Mar-19 07:15:02 pm,Unocc
14-Mar-19 09:42:05 pm,Occ
14-Mar-19 10:13:35 pm,Unocc
15-Mar-19 06:00:18 am,Occ
15-Mar-19 06:01:17 pm,Unocc
16-Mar-19 09:48:19 am,Occ
16-Mar-19 10:18:45 am,Unocc
16-Mar-19 07:56:53 pm,Occ
16-Mar-19 08:27:20 pm,Unocc
17-Mar-19 04:55:41 pm,Occ
17-Mar-19 05:26:09 pm,Unocc
18-Mar-19 12:51:06 am,Occ
18-Mar-19 01:21:03 am,Unocc
18-Mar-19 06:00:38 am,Occ
18-Mar-19 06:01:17 pm,Unocc
18-Mar-19 10:05:49 pm,Occ
18-Mar-19 10:36:36 pm,Unocc
19-Mar-19 06:00:34 am,Occ
19-Mar-19 06:01:30 pm,Unocc
19-Mar-19 09:56:52 pm,Occ
19-Mar-19 10:27:30 pm,Unocc
20-Mar-19 06:00:04 am,Occ
20-Mar-19 06:00:50 pm,Unocc
20-Mar-19 10:00:27 pm,Occ
20-Mar-19 10:30:39 pm,Unocc
21-Mar-19 06:00:12 am,Occ
21-Mar-19 06:01:11 pm,Unocc
21-Mar-19 08:16:12 pm,Occ
21-Mar-19 08:46:28 pm,Unocc
