Timestamp,RTU_1 EconoStatus
26-May-19 09:38:07 am,OffAmb
02-Jun-19 03:49:25 am,Enabled
02-Jun-19 07:29:09 am,OffAmb
03-Jun-19 04:47:14 am,Enabled
03-Jun-19 06:02:25 am,OffAmb
03-Jun-19 06:18:45 am,Enabled
03-Jun-19 01:20:54 pm,OffAmb
03-Jun-19 09:27:13 pm,Enabled
04-Jun-19 11:42:18 am,OffAmb
04-Jun-19 10:55:34 pm,Enabled
05-Jun-19 11:31:48 am,OffAmb
05-Jun-19 11:14:53 pm,Enabled
06-Jun-19 03:37:57 pm,OffAmb
06-Jun-19 03:56:29 pm,Enabled
06-Jun-19 04:32:27 pm,OffAmb
06-Jun-19 04:46:02 pm,Enabled
06-Jun-19 04:58:30 pm,OffAmb
06-Jun-19 04:59:14 pm,Enabled
06-Jun-19 05:05:11 pm,OffAmb
06-Jun-19 05:14:20 pm,Enabled
06-Jun-19 06:24:18 pm,OffAmb
06-Jun-19 07:19:22 pm,Enabled
06-Jun-19 10:15:29 pm,OffAmb
06-Jun-19 10:48:48 pm,Enabled
07-Jun-19 02:28:42 am,OffAmb
07-Jun-19 02:54:29 am,Enabled
08-Jun-19 10:56:33 am,OffAmb
08-Jun-19 10:03:14 pm,Enabled
09-Jun-19 09:02:59 am,OffAmb
09-Jun-19 10:32:24 pm,Enabled
10-Jun-19 08:43:19 am,OffAmb
12-Jun-19 11:12:29 pm,OffAmb
16-Jun-19 03:51:05 am,Enabled
16-Jun-19 07:55:53 am,OffAmb
19-Jun-19 03:28:52 am,Enabled
19-Jun-19 06:16:45 am,OffAmb
19-Jun-19 06:28:11 am,Enabled
19-Jun-19 11:47:59 am,OffAmb
19-Jun-19 10:00:46 pm,Enabled
19-Jun-19 10:17:44 pm,OffAmb
19-Jun-19 11:52:11 pm,Enabled
20-Jun-19 09:39:47 am,OffAmb
20-Jun-19 10:56:29 am,Enabled
20-Jun-19 11:46:30 am,OffAmb
20-Jun-19 11:56:34 pm,Enabled
21-Jun-19 10:32:57 am,OffAmb
25-Jun-19 12:09:35 am,Enabled
25-Jun-19 08:29:59 am,OffAmb
29-Jun-19 03:46:44 am,Enabled
29-Jun-19 07:01:59 am,OffAmb
30-Jun-19 03:22:31 am,Enabled
30-Jun-19 07:45:49 am,OffAmb
10-Jul-19 05:39:23 pm,OffAmb
20-Jul-19 12:32:52 am,Enabled
20-Jul-19 08:05:58 am,OffAmb
26-Aug-19 04:08:03 am,Enabled
26-Aug-19 08:02:27 am,OffAmb
27-Sep-19 10:08:09 am,Enabled
27-Sep-19 12:14:01 pm,OffAmb
27-Sep-19 02:10:02 pm,Enabled
27-Sep-19 02:21:11 pm,OffAmb
27-Sep-19 02:32:44 pm,Enabled
28-Sep-19 12:30:54 pm,OffAmb
28-Sep-19 04:16:06 pm,Enabled
02-Oct-19 10:11:51 pm,OffAmb
02-Oct-19 10:36:01 pm,Enabled
03-Oct-19 10:21:37 pm,OffAmb
03-Oct-19 10:51:25 pm,Enabled
04-Oct-19 04:47:15 am,OffAmb
04-Oct-19 05:12:18 am,Enabled
05-Oct-19 09:45:03 am,OffAmb
05-Oct-19 07:14:58 pm,Enabled
06-Oct-19 11:49:04 am,OffAmb
06-Oct-19 07:20:42 pm,Enabled
07-Oct-19 10:32:24 am,OffAmb
07-Oct-19 11:04:56 pm,Enabled
08-Oct-19 10:31:53 pm,OffAmb
08-Oct-19 10:44:39 pm,Enabled
12-Oct-19 02:09:26 pm,OffAmb
12-Oct-19 03:10:07 pm,Enabled
13-Oct-19 12:28:49 pm,OffAmb
13-Oct-19 03:41:15 pm,Enabled
14-Oct-19 08:31:01 pm,OffAmb
